Residence,Korea - Urban,Korea - Rural,Korea - Total,Surguja - Rural,Surguja - Total,Jashpur - Rural,Jashpur - Total,Raigarh - Rural,Raigarh - Total,Korba - Urban,Korba - Rural,Korba - Total,Janjgir - Champa - Rural,Janjgir - Champa - Total,Bilaspur - Rural,Bilaspur - Total,Kabirdham - Rural,Kabirdham - Total,Rajnandgaon - Rural,Rajnandgaon - Total,Durg - Urban,Durg - Rural,Durg - Total,Raipur - Urban,Raipur - Rural,Raipur - Total,Mahasamund - Rural,Mahasamund - Total,Dhamtari - Rural,Dhamtari - Total,Uttar Bastar Kanker - Rural,Uttar Bastar Kanker - Total,Bastar - Rural,Bastar - Total,Narayanpur - Rural,Narayanpur - Total,Dakshin Bastar Dantewada - Rural,Dakshin Bastar Dantewada - Total,Bijapur - Rural,Bijapur - Total,Note of Korea - Urban,Note of Korea - Rural,Note of Korea - Total,Note of Surguja - Rural,Note of Surguja - Total,Note of Jashpur - Rural,Note of Jashpur - Total,Note of Raigarh - Rural,Note of Raigarh - Total,Note of Korba - Urban,Note of Korba - Rural,Note of Korba - Total,Note of Janjgir - Champa - Rural,Note of Janjgir - Champa - Total,Note of Bilaspur - Rural,Note of Bilaspur - Total,Note of Kabirdham - Rural,Note of Kabirdham - Total,Note of Rajnandgaon - Rural,Note of Rajnandgaon - Total,Note of Durg - Urban,Note of Durg - Rural,Note of Durg - Total,Note of Raipur - Urban,Note of Raipur - Rural,Note of Raipur - Total,Note of Mahasamund - Rural,Note of Mahasamund - Total,Note of Dhamtari - Rural,Note of Dhamtari - Total,Note of Uttar Bastar Kanker - Rural,Note of Uttar Bastar Kanker - Total,Note of Bastar - Rural,Note of Bastar - Total,Note of Narayanpur - Rural,Note of Narayanpur - Total,Note of Dakshin Bastar Dantewada - Rural,Note of Dakshin Bastar Dantewada - Total,Note of Bijapur - Rural,Note of Bijapur - Total
8. Households using improved sanitation facility2 (%),53.23,11.99,24.52,13.3,18.15,12.73,15.13,20.24,26.73,65.33,16.23,34.25,23.42,29.03,25.73,40.02,14.92,20.81,40.03,44.77,66.81,29.97,44.66,62.34,23.83,38.61,19.78,22.03,50.6,54.54,34.82,38.66,11.92,17.61,8.03,15.59,13.41,22.44,15.41,21.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9. Households using clean fuel for cooking3 (%),51,4.6,18.7,4.88,12.38,3.96,7.62,10.27,19.58,61.7,6.08,26.5,12.23,18.93,10.23,28.17,4.85,10.31,6.47,19.72,76.24,9.97,36.4,76.94,8.48,34.74,7.73,12.85,7.81,20.58,5.98,14.52,3.4,10.43,3.89,11.81,4.49,16.07,2.26,9.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10. Households using iodized salt (%),98.55,98.89,98.79,99.23,99.32,99.22,99.28,98.61,98.63,99.41,99.43,99.42,99.08,99.02,99.29,99.33,96.74,97.01,98.53,98.83,99.65,99.27,99.42,99.52,99.22,99.33,98.96,99.07,99.47,99.59,99.62,99.22,98.44,98.49,99.73,99.68,99.55,99.63,99.65,99.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11. Households with any usual member covered by a health scheme or health insurance (%),70.49,60.34,63.43,72.79,71.8,78.43,78.13,64.76,62.58,65.13,60.61,62.27,72.6,70.09,73.06,68.98,69.28,66.36,77.9,76.57,60.49,73.42,68.27,52.29,62.32,58.47,74.33,73.13,85.34,83.15,81.12,78.92,73.36,71.22,81.47,81.38,66.53,64.96,87.47,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12. Women who are literate (%),78.05,53.85,61.47,48.24,53.02,64.27,65.77,63.49,67.65,80.12,57.59,66.22,70.43,72.84,65.8,70.13,50.08,51.73,74.18,75.95,84.22,69.73,75.74,79.4,63.75,69.72,63.91,64.61,74.02,75.38,61.28,64.45,42.04,47.17,43.71,48.27,30.43,38.01,61.82,64.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13. Men who are literate (%),91.97,79.51,83.29,76.25,79.07,75.09,76.72,86.83,86.23,91.75,78.56,82.88,89.63,91.52,84.73,87.47,78.89,80.98,94.73,95.81,93.66,90.78,91.94,93.09,84.75,87.96,86.25,86.76,88.92,90.29,85.89,86.78,68.7,71.41,73.05,77.7,46.54,53.8,85.48,87.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14. Women with 10 or more years of schooling (%),42.21,13.53,22.56,15.89,19.98,21.17,23.15,21.9,25.74,45.07,17.07,27.8,28.43,32.83,18.14,26.47,14.9,17.57,23.44,28,49.28,26.18,35.77,41.11,20.67,28.47,18.9,20.97,24.59,28.65,23.81,28.25,12.42,17.07,12.47,16.8,9.14,15.91,17.1,20.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15. Women age 20-24 years married before age 18 years (%),17.46,36.42,31.05,44.86,42.83,33.66,31.81,23.39,21.37,13.99,23.99,20.24,19.23,18.22,21.56,21.44,33.66,30.71,17.06,17.24,12.57,20.21,16.91,12.87,22.52,18.91,20.01,19.55,9.23,8.48,15.59,14.48,21.15,20.11,17.68,16.66,19.99,19.39,16.25,17.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16. Men age 25-29 years married before age 21 years (%),NA,33.84,32.59,NA,NA,NA,NA,NA,NA,NA,22.29,19.33,NA,NA,NA,23.86,50.16,45.1,23.24,19.01,33.47,18.42,25.46,13.03,NA,25.25,NA,NA,26.61,25.03,NA,NA,NA,NA,19.14,14.18,28.22,24.91,13.65,12.68,*,NA,NA,*,*,*,*,*,*,*,NA,NA,*,*,*,NA,NA,NA,NA,NA,NA,NA,NA,NA,*,NA,*,*,NA,NA,*,*,*,*,NA,NA,NA,NA,NA,NA
17. Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),7.83,9.91,9.24,10.58,9.49,5.96,5.48,3.28,2.76,1.96,5.55,4.31,3.92,3.75,7.65,7.53,7.07,6.53,3.68,4.38,1.91,2.22,2.1,3.62,2.53,2.89,4.73,5.03,2.9,2.8,5.03,4.68,5.3,4.81,6.18,6.13,5.15,4.98,8.36,7.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18. Any method (%),55.69,48.52,50.56,39.78,41.41,50.01,50.12,51.62,52.29,63.21,51,55.45,61.45,61.74,62.75,64.59,58.54,58.05,63.97,64.26,63.93,68.36,66.6,58.91,56.58,57.47,66.09,65.54,73.39,72,55.95,55.85,44.71,45.75,36.22,40.03,36.33,39.42,50.83,51.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19. Any modern method (%),50.68,46.21,47.48,36.95,38.36,44.96,45.21,48.99,49.33,57.85,46.11,50.39,58.87,59.05,58.83,60.52,57.11,56.76,62.68,62.85,57.98,66.13,62.88,55,55.06,55.04,62.25,61.93,71.64,69.76,53.3,53.42,41.95,42.94,35.84,38.96,28.72,31.66,50.09,50.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20. Female sterilization (%),33.41,34.78,34.39,33.23,33.4,36.81,37.08,43.89,42.72,41.05,38.9,39.68,52.98,52.55,45.11,43.78,54.81,54.08,50.12,49.34,48.17,60.43,55.54,44.4,51.98,49.08,57.71,57.08,67.3,65.01,48.12,46.71,35.86,35.76,26.42,29.14,24.33,26.62,41.63,41.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21. Male sterilization (%),0.29,0.09,0.14,0,0.24,0.7,0.65,0,0,0.37,0.12,0.21,0.37,0.31,0.34,0.73,0,0,1.79,1.8,0.26,1.05,0.73,0,0.42,0.26,0.39,0.35,1.1,0.93,1.87,2.05,2.06,1.76,1.32,1.1,1.96,1.63,1.17,1.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22. IUD/PPIUD (%),1.61,1.58,1.59,0.5,0.58,2.45,2.39,0.85,0.87,1.33,1.14,1.21,1.26,1.73,3.01,3.2,1.54,1.52,4.22,3.95,1.71,1.1,1.35,2.5,0.51,1.27,0.54,0.69,0.61,0.47,0.47,0.42,0.45,0.68,2.32,2.18,0.45,0.37,2.45,2.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23. Pill (%),2.29,2.67,2.56,1.57,1.39,1.14,1.27,2.12,2.6,3.86,2.65,3.09,1.12,1.04,2.51,2.56,0.48,0.65,1.53,1.24,1.14,1,1.06,3.07,0.63,1.56,2.16,2.07,1.54,1.55,0.75,1.15,1.88,2.09,0.9,1,0.73,0.81,1.8,2.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24. Condom (%),12.09,6.48,8.08,1.64,2.75,3.86,3.81,2.13,3.14,10.94,2.91,5.84,3.13,3.42,5.33,8.29,0.28,0.5,3.4,4.55,6.33,2.41,3.97,5.04,1.53,2.87,1.45,1.74,1.1,1.8,2.09,3.1,1.7,2.64,3.99,4.56,0.28,1.11,2.34,2.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25. Total unmet need (%),14.17,12.54,13,14.26,14.35,15.59,15.42,12.31,13.1,11.67,13.78,13.01,12.95,12.49,9.92,9.02,10.68,10.7,8.76,9.04,11.5,7.85,9.31,11.56,10.55,10.94,8.25,7.67,5.88,5.66,12.97,12.96,12.93,12.84,15.33,14.15,15.46,15.96,9.16,9.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26. Unmet need for spacing (%),7.67,5.34,6,6.19,6.42,7.08,7.03,5.89,6.1,4.05,6.2,5.42,6.07,5.93,4.55,4.75,5.48,5.66,4.63,4.86,4.89,4.32,4.55,4.76,4.83,4.81,4.12,3.93,4.13,3.78,5.23,5.45,5.59,5.78,6.71,6.86,8.29,9.14,6.29,6.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27. Health worker ever talked to female non-users about family planning5 (%),27.36,27.93,27.76,20.47,22.15,20.95,21.2,12.18,12.57,30.2,28.4,29.02,22.65,22.77,32.68,34.61,16.63,16.78,43.31,45.66,39.95,52.12,46.69,20.31,22.05,21.41,31.1,29.99,33.42,31.61,31.77,29.69,33.43,34.56,28.29,30.81,21.63,23.31,40.24,40.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28. Current users ever told about side effects of current method (%),83.27,61.01,66.98,43.9,45.73,35.86,34.24,27.82,32.84,45.33,48.8,47.69,33.61,40.9,88.24,87.01,36.5,36.73,74.54,74.04,41.07,65.77,56.08,41.02,46.38,44.26,48.63,49.64,46.74,49.97,43.11,43.35,43.07,40.59,82.49,80.32,67.83,69.8,83.01,83.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29. Mothers who had antenatal check-up in the first trimester (%),82.76,64.64,69.59,50.88,52.46,58.33,58.98,77.79,78.55,87.41,67.18,73.41,67.92,68.59,68.88,71.87,61.5,64.67,69.3,69.79,84.86,73.73,78.05,85.95,73.92,78.22,77.68,77.52,79.62,79.41,83.33,83.83,55.78,59.13,51.79,54.29,59.62,63.39,60.83,62.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30. Mothers who had at least 4 antenatal care visits (%),57.86,40.3,45.09,39.35,41.73,33.62,34.55,66.85,67.67,68.43,45.93,52.86,45.21,44.26,60.32,60.7,41.72,43.59,65.12,64.22,68.2,54.55,59.85,89.24,69.11,76.31,60.89,60.86,71.93,76.29,70.25,72.11,54.47,55.76,38.73,40.91,57.15,60.46,46.62,49.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31. Mothers whose last birth was protected against neonatal tetanus6 (%),97.42,93.71,94.72,85.61,87.07,93.35,93.39,92.92,93.06,97.27,91.09,92.99,93.1,93.12,96.64,96.28,95.1,95.32,95.87,96.46,97.12,94.01,95.22,95.88,92.8,93.9,96.76,96.66,98.97,99.2,93.96,93.65,97.5,97.19,81.42,83.84,95.3,95.08,93.84,94.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),47.62,36.16,39.29,17.46,18.43,25.39,25.56,19.14,21.01,30.52,21.41,24.21,16.36,17.56,37.91,39.25,18.87,19.03,43.82,40.04,45.83,31.84,37.27,38.67,27.23,31.32,22.43,22.98,37.04,41.92,37.65,38.49,25.01,29.07,23.42,23.49,26.5,26.13,21.8,21.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33. Mothers who had full antenatal care7 (%),29.6,18.27,21.36,11.24,12.49,11.85,12.61,13.1,14.7,22.43,12.62,15.64,11.9,12,27.98,27.34,9.41,9.95,35.49,32.91,31.23,20.32,24.56,34.89,23.5,27.57,11.99,13.37,29.92,35.53,27.38,27.78,15.26,17.83,19.11,18.36,19.15,19.79,15.8,15.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34. Registered pregnancies for which the mother received Mother and Child Protection (MCP) card (%),99.1,94.08,95.49,75.16,77.84,85.02,85.21,91.49,91.73,92.7,88.06,89.47,88,89.45,96.85,97.57,85.22,86.53,98.19,98.56,93.51,97.5,95.97,90.91,84.42,86.63,96.96,96.27,96.44,94.96,96.42,96.2,86.47,88.17,85.27,87.1,87.99,89.77,96.22,96.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35. Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),71.69,61.66,64.39,45.38,45.54,40.79,41.71,67.52,68.59,70.49,47.91,54.86,50.47,49.63,78.13,81.62,48.07,49.34,85.8,86.79,68.23,57.28,61.54,75.17,63.42,67.62,57.44,57.42,75.09,76.85,57.6,60.79,49.53,52.98,60.57,63.04,40.32,46.13,64.13,63.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36. Mothers who received financial assistance under Janani Suraksha Yojana (JSY) for births delivered in an institution (%),41.86,66.29,58.45,67.99,65.94,68.32,68.4,62.86,60.57,41.83,77.97,64.6,55.78,52.81,77.04,70.48,70.33,66.09,77.4,76.25,47.45,73.64,61.89,44.34,63.68,55.9,75.01,73.57,66.55,67.09,75.58,69.23,81.93,78.44,81.8,80.68,90.97,84.07,81.49,78.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37. Average out of pocket expenditure per delivery in public health facility (Rs.),1748.36,1585.38,1631.47,1503.33,1677.27,890.38,931.68,5769.32,5329.33,1870.58,615.03,934.63,2242.91,2074.91,1049.68,1112.95,1394.66,1431.34,859.59,864.72,5230.49,977.33,2547.54,1537.02,1273.31,1354.76,931.72,932.15,918.73,889.23,709.43,703.02,427.04,489,285.45,295.36,622.19,764.6,343.45,322.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38. Children born at home who were taken to a health facility for check-up within 24 hours of birth (%),3.53,7.18,6.6,6.43,5.99,1.04,1.02,9.35,10.9,4.46,5.36,5.21,3.95,3.33,2.69,2.55,2.04,1.86,3.11,8.08,4.17,5.37,5.1,4.45,7.08,6.45,1.85,1.69,0.01,5.27,5.64,5.64,0.89,0.88,5.27,5.12,0.97,1.94,3.41,3.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
